ID,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15
P051,0.74512168,-0.612078871,-0.949234886,-0.331176503,-2.217838858,1.402148719,-0.196971658,-0.926091329,0.193142102,1.46943661,-0.431895395,-0.242159206,-0.056520804,-1.269206055,0.398340128,0.241229293
P052,-1.045794226,0.809558673,-0.842550957,2.20730787,-0.044680809,0.02738688,-1.007684881,-0.266751729,-0.142268239,-0.354618714,-0.810731851,0.8623528,-0.72945472,0.139933977,-0.226400753,-0.004501461
P053,-0.277842467,-0.478332244,0.761404999,0.508136829,-0.682095222,0.055046812,-0.16878936,-0.072204536,-0.148657594,0.230348566,1.836171982,-0.991133529,-0.062245259,0.239752453,-1.017469408,-0.9408069
P054,-1.420922408,-0.337025997,-0.557001628,0.659024719,-0.941040175,-0.348796653,-1.770566656,-1.059186612,-0.704863685,-0.793540376,-0.643068387,0.882602576,-0.539996223,-1.584979721,-0.830325363,-0.389878299
P055,0.117708506,-0.430592869,0.563313551,-0.167665562,-1.593107786,0.731314572,1.080709567,0.597430679,0.704123824,0.710126274,-0.283256153,0.847285213,1.030247667,0.396994401,-0.505259641,0.20977689
P056,1.925819894,1.382199514,-0.831914959,-0.501235481,0.983140238,2.552261808,-1.129125402,0.759328852,-0.997742135,-0.005299739,0.94948564,-1.099418557,0.475838039,-1.644287972,0.744741187,0.684851885
P057,0.40669326,-1.147997882,0.360756453,0.793922636,-0.426127636,1.735282014,-0.95624425,1.35227603,0.531551721,-0.9891682,1.43254024,0.070557028,1.341395426,-0.363948833,-0.795704295,1.697022768
P058,1.912603599,1.946798752,1.050489849,-0.173500505,-0.036636225,-0.620319253,0.509793835,1.63837436,0.338260405,1.388000339,-0.514520919,0.944940597,0.299428422,0.173058655,-2.506194926,-0.331778045
P059,-0.833677155,-0.344814743,0.718624507,-1.114401109,0.092366261,-0.259345323,-1.220944782,-1.347197778,1.854372698,-0.166767227,1.746261479,-0.164130636,1.233612772,-1.113778637,-1.027654062,-0.176654301
P060,-1.442056794,0.74432416,-1.434927487,1.361396377,-0.155357187,-0.910674251,-0.097743366,-0.750168199,0.147368021,0.177516971,-0.539576033,-0.033094524,-0.791638347,-0.537423005,-0.556115131,-0.657700352
P061,1.078880218,-0.002277609,-2.109600017,-1.759180001,-0.045888076,0.304297403,0.132508141,-1.207273856,-1.375844286,-1.100294566,-0.017107796,-0.432248512,-1.489197007,-1.258817195,-0.580537954,-1.214952539
P062,-1.49393687,0.39540758,-1.182763275,0.554170814,-0.556408132,-0.421482323,-1.304520991,-1.095448404,0.367915929,-0.867596607,-0.214047813,0.615562021,-1.183794163,-0.406915369,-0.836827271,-0.894965085
P063,1.262937529,0.630997887,-1.401944322,-1.378575555,0.014783262,0.916373024,-0.493340678,-1.089601666,-1.942072135,1.083503087,-0.188331691,-0.959283837,-0.716167588,-0.427245074,-0.369062783,-0.761379393
P064,0.652247798,-0.092212272,0.180637811,-0.575811439,1.111254861,0.411759829,-1.535846547,-0.939182358,-0.094421281,-1.27531582,0.192722113,0.659397882,-0.680284393,1.994027151,-0.480435267,0.080359126
P065,0.169344966,-1.056845596,-0.743314577,-1.389138344,0.05941936,0.686531878,0.285331694,-0.314311986,-0.318262467,-1.449674996,0.279794221,-0.685978593,0.438598973,-0.648053393,0.341958569,-0.572583005
P066,1.103765553,0.826887373,1.038503404,0.181786749,-0.854124513,-0.01458122,0.312194722,0.355971544,0.105793999,-0.049823743,2.18974359,1.609729923,-0.627069865,0.436539706,0.516348934,1.327815367
P067,-1.206680611,1.447394854,-1.282338372,-0.404817066,0.948892493,0.06649128,2.188712369,1.740477953,0.874119244,0.824418221,1.308482893,-0.853347877,-0.716065787,0.373044863,-0.299056751,1.312726473
P068,-0.246632911,-1.103604508,1.260186645,-0.235980733,-0.103514572,-0.820371779,-0.003131111,-1.600343985,-0.396429157,-0.281271178,-1.832888046,0.157080095,-1.272397522,-0.153374624,1.300537161,0.401553243
P069,-0.671906555,-0.807343616,0.799288044,-1.682691052,-0.868553226,-0.386938397,0.432430377,-1.488626771,0.358794076,0.042270914,0.705098343,1.605492547,-1.082364828,-1.453933612,0.388167168,-0.361908519
P070,-0.868504969,0.42220495,0.228677838,-0.013933234,-0.567415791,0.473948405,-0.174878858,-0.08137567,-0.64339012,-0.068117776,-1.002715646,0.571714151,0.991173125,0.896547897,0.382260812,-0.364121741
P071,-0.813159305,0.068952121,0.477445648,1.219506801,0.317056505,-0.863398508,-1.431756774,-0.927953698,0.335345265,-1.224184452,0.751403502,-0.011892688,-0.578283464,0.92600569,0.663450419,-0.22237382
